PS D:\jetstortech\Web API Door scan AI\final\STUDENT_FACIAL_SCANNER> node server.js
[dotenv@17.2.3] injecting env (0) from .env -- tip: ⚙️  override existing env vars with { override: true }
Server chạy trên cổng 3000
-> Đã kết nối MySQL thành công!
GET /admin/students 304 32.011 ms - -
GET /admin/assets/css/bootstrap.min.css 304 4.747 ms - -
GET /admin/assets/plugins/fontawesome/css/fontawesome.min.css 304 5.172 ms - -
GET /admin/assets/plugins/fontawesome/css/all.min.css 304 4.963 ms - -        
GET /admin/assets/css/style.css 304 8.438 ms - -
GET /admin/assets/img/home.svg 304 2.483 ms - -    
GET /admin/assets/img/employee.svg 304 2.990 ms - -
GET /admin/assets/img/company.svg 304 1.118 ms - - 
GET /admin/assets/img/calendar.svg 304 1.031 ms - -
GET /admin/assets/img/log.svg 304 1.816 ms - -
GET /admin/assets/js/jquery-3.6.0.min.js 304 2.083 ms - -
GET /admin/assets/js/popper.min.js 304 2.291 ms - -
GET /admin/assets/js/bootstrap.min.js 304 2.909 ms - -
GET /admin/assets/js/feather.min.js 304 1.419 ms - -
GET /admin/assets/plugins/slimscroll/jquery.slimscroll.min.js 304 1.337 ms - -
GET /admin/assets/plugins/apexchart/apexcharts.min.js 304 1.437 ms - -        
GET /admin/assets/plugins/apexchart/chart-data.js 304 1.024 ms - -
GET /admin/assets/js/script.js 304 1.895 ms - -
GET /admin/assets/img/report.svg 304 0.919 ms - -
GET /admin/assets/img/manage.svg 304 1.931 ms - -
GET /admin/assets/img/logo.png 304 1.339 ms - -
GET /admin/assets/img/logo-small.png 304 0.791 ms - -        
GET /admin/assets/img/profiles/avatar-02.jpg 304 1.414 ms - -
GET /admin/assets/img/profiles/avatar-03.jpg 304 1.423 ms - -
GET /admin/assets/img/profiles/avatar-04.jpg 304 1.144 ms - -
GET /admin/assets/img/profile.jpg 304 0.844 ms - -
GET /admin/classes 304 8.738 ms - -
GET /admin/assets/css/bootstrap.min.css 304 1.986 ms - -
GET /admin/assets/plugins/fontawesome/css/fontawesome.min.css 304 1.695 ms - -
GET /admin/assets/plugins/fontawesome/css/all.min.css 304 3.424 ms - -        
GET /admin/assets/css/style.css 304 2.224 ms - -
GET /admin/assets/img/home.svg 304 2.472 ms - -
GET /admin/assets/img/employee.svg 304 3.494 ms - -
GET /admin/assets/img/company.svg 304 0.890 ms - -
GET /admin/assets/img/calendar.svg 304 1.285 ms - -
GET /admin/assets/img/log.svg 304 0.799 ms - -
GET /admin/assets/js/jquery-3.6.0.min.js 304 1.175 ms - -
GET /admin/assets/js/popper.min.js 304 0.647 ms - -
GET /admin/assets/js/bootstrap.min.js 304 1.242 ms - -
GET /admin/assets/js/feather.min.js 304 0.842 ms - -
GET /admin/assets/plugins/slimscroll/jquery.slimscroll.min.js 304 1.303 ms - -
GET /admin/assets/plugins/apexchart/apexcharts.min.js 304 0.731 ms - -
GET /admin/assets/plugins/apexchart/chart-data.js 304 1.300 ms - -
GET /admin/assets/js/script.js 304 0.828 ms - -
GET /admin/assets/img/report.svg 304 1.621 ms - -
GET /admin/assets/img/manage.svg 304 2.190 ms - -
GET /admin/assets/img/logo.png 304 3.906 ms - -
GET /admin/assets/img/logo-small.png 304 4.004 ms - -
GET /admin/assets/img/profiles/avatar-02.jpg 304 4.914 ms - -
GET /admin/assets/img/profiles/avatar-03.jpg 304 1.609 ms - -
GET /admin/assets/img/profiles/avatar-04.jpg 304 1.924 ms - -
GET /admin/assets/img/profile.jpg 304 3.118 ms - -
GET /admin/attendance 304 94.455 ms - -
GET /admin/assets/css/bootstrap.min.css 304 3.000 ms - -
GET /admin/assets/plugins/fontawesome/css/fontawesome.min.css 304 5.938 ms - -
GET /admin/assets/plugins/fontawesome/css/all.min.css 304 7.737 ms - -
GET /admin/assets/css/style.css 304 7.773 ms - -
GET /admin/assets/img/home.svg 304 7.903 ms - -
GET /admin/assets/img/employee.svg 304 2.954 ms - -
GET /admin/assets/img/company.svg 304 0.802 ms - -
GET /admin/assets/img/calendar.svg 304 0.682 ms - -
GET /admin/assets/img/log.svg 304 1.153 ms - -
GET /admin/assets/js/jquery-3.6.0.min.js 304 1.531 ms - -
GET /admin/assets/js/popper.min.js 304 2.369 ms - -
GET /admin/assets/js/bootstrap.min.js 304 3.924 ms - -
GET /admin/assets/js/feather.min.js 304 0.827 ms - -
GET /admin/assets/plugins/slimscroll/jquery.slimscroll.min.js 304 1.784 ms - -
GET /admin/assets/plugins/apexchart/apexcharts.min.js 304 0.874 ms - -
GET /admin/assets/plugins/apexchart/chart-data.js 304 1.135 ms - -
GET /admin/assets/js/script.js 304 1.979 ms - -
GET /admin/assets/img/report.svg 304 2.013 ms - -
GET /admin/assets/img/manage.svg 304 1.488 ms - -
GET /admin/assets/img/logo.png 304 1.801 ms - -
GET /admin/assets/img/logo-small.png 304 0.696 ms - -
GET /admin/assets/img/profiles/avatar-02.jpg 304 0.995 ms - -
GET /admin/assets/img/profiles/avatar-03.jpg 304 0.479 ms - -
GET /admin/assets/img/profiles/avatar-04.jpg 304 1.431 ms - -
GET /admin/assets/img/profile.jpg 304 1.361 ms - -
GET /api/PushAddr/CarriedDevice 404 1.983 ms - 53
GET /admin/smslogs 304 6.066 ms - -
GET /admin/assets/css/bootstrap.min.css 304 1.226 ms - -
GET /admin/assets/plugins/fontawesome/css/fontawesome.min.css 304 2.562 ms - -
GET /admin/assets/plugins/fontawesome/css/all.min.css 304 1.886 ms - -
GET /admin/assets/css/style.css 304 3.459 ms - -
GET /admin/assets/img/home.svg 304 1.651 ms - -
GET /admin/assets/img/employee.svg 304 2.415 ms - -
GET /admin/assets/img/company.svg 304 0.709 ms - -
GET /admin/assets/img/calendar.svg 304 0.965 ms - -
GET /admin/assets/img/log.svg 304 1.307 ms - -
GET /admin/assets/js/jquery-3.6.0.min.js 304 0.953 ms - -
GET /admin/assets/js/popper.min.js 304 1.142 ms - -
GET /admin/assets/js/bootstrap.min.js 304 1.828 ms - -
GET /admin/assets/js/feather.min.js 304 1.934 ms - -
GET /admin/assets/plugins/slimscroll/jquery.slimscroll.min.js 304 1.424 ms - -
GET /admin/assets/plugins/apexchart/apexcharts.min.js 304 2.065 ms - -
GET /admin/assets/plugins/apexchart/chart-data.js 304 1.454 ms - -
GET /admin/assets/js/script.js 304 1.483 ms - -
GET /admin/assets/img/report.svg 304 1.499 ms - -
GET /admin/assets/img/manage.svg 304 1.258 ms - -
GET /admin/assets/img/logo.png 304 1.047 ms - -
